id,vendor_id,order_date,expected_delivery,actual_delivery,total_amount,status,items_ordered
1,1,2024-01-02,2024-01-04,2024-01-04,450.00,delivered,"Shrimp (50lbs), Oysters (100ct)"
2,2,2024-01-02,2024-01-05,2024-01-08,225.00,delivered,"AP Flour (200lbs), Bread Flour (100lbs)"
3,3,2024-01-03,2024-01-04,2024-01-04,189.50,delivered,"Mixed Vegetables, Lettuce (5 cases)"
4,1,2024-01-09,2024-01-11,2024-01-11,523.00,delivered,"Red Snapper (30lbs), Crab Meat (20lbs)"
5,5,2024-01-10,2024-01-12,2024-01-12,678.00,delivered,"Ribeye (50lbs), Ground Beef (100lbs)"
6,2,2024-01-16,2024-01-19,2024-01-22,225.00,delivered,"AP Flour (200lbs), Bread Flour (100lbs)"
7,3,2024-01-17,2024-01-18,2024-01-18,203.00,delivered,"Tomatoes (10 cases), Onions (50lbs)"
8,1,2024-01-23,2024-01-25,2024-01-26,498.00,delivered,"Shrimp (40lbs), Oysters (150ct)"
9,4,2024-01-24,2024-01-29,2024-01-30,156.00,delivered,"Napkins, To-go containers"
10,2,2024-01-30,2024-02-02,2024-02-05,225.00,delivered,"AP Flour (200lbs), Bread Flour (100lbs)"
11,7,2024-02-01,2024-02-03,2024-02-03,312.00,delivered,"Soft Drinks (50 cases), Tea (200 bags)"
12,1,2024-02-06,2024-02-08,2024-02-08,567.00,delivered,"Grouper (40lbs), Shrimp (60lbs)"
13,5,2024-02-07,2024-02-09,2024-02-09,892.00,delivered,"Filet Mignon (30lbs), Pork Chops (80lbs)"
14,2,2024-02-13,2024-02-16,2024-02-19,225.00,delivered,"AP Flour (200lbs), Bread Flour (100lbs)"
15,3,2024-02-14,2024-02-15,2024-02-15,245.00,delivered,"Valentine Special Roses, Strawberries (20lbs)"
16,9,2024-02-15,2024-02-16,2024-02-16,189.00,delivered,"Milk (50 gal), Cheese (40lbs)"
17,1,2024-02-20,2024-02-22,2024-02-23,502.00,delivered,"Lobster (30lbs), Crab (40lbs)"
18,6,2024-02-21,2024-02-25,2024-02-26,234.00,delivered,"Plates (1000ct), Cups (2000ct)"
19,2,2024-02-27,2024-03-01,2024-03-04,225.00,delivered,"AP Flour (200lbs), Bread Flour (100lbs)"
20,3,2024-02-28,2024-02-29,2024-02-29,198.00,delivered,"Seasonal Vegetables (15 cases)"
